TIMESTAMP_START,TA_F_MDS,TA_F_MDS_QC,SW_IN_F_MDS,SW_IN_F_MDS_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,VPD_F_MDS,VPD_F_MDS_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,WD,USTAR,RH,NETRAD,SW_OUT,LW_OUT,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,H_F_MDS,H_F_MDS_QC,H_CORR
201101010000,-3.03,0,0,0,280.02,0,0.052,0,96.181,0,0,0,3.671,2,-9999,-9999,98.93,-17.95,0,297.96,1.43,1.94,1.99,2.29,2.91,3.98,0,0,0,0,0,0,42.33,38.77,27.39,45.57,0,0,0,0,-3.66,-9999,-0.258413,1,-0.118084,-14.0555,1,-6.42281
201101010030,-2.77,0,0,0,289.23,0,0.055,0,96.163,0,0,0,3.819,2,-9999,-9999,98.9,-10.07,0,299.29,1.43,1.93,1.99,2.29,2.9,3.98,0,0,0,0,0,0,42.34,38.79,27.39,45.57,0,0,0,0,-3.66,-9999,-0.230164,1,-0.108643,-13.7973,1,-6.51269
201101010100,-2.68,0,0,0,291.6,0,0.055,0,96.097,0,0,0,3.967,2,-9999,-9999,98.9,-7.99,0,299.59,1.42,1.93,1.99,2.29,2.9,3.98,0,0,0,0,0,0,42.34,38.84,27.4,45.57,0,0,0,0,-3.66,-9999,-0.230164,1,-0.1093,-13.7973,1,-6.55204
201101010130,-2.43,0,0,0,297.01,0,0.055,0,96.09,0,0,0,4.029,2,-9999,-9999,98.93,-3.94,0,300.94,1.42,1.93,1.98,2.29,2.9,3.98,0,0,0,0,0,0,42.34,38.84,27.4,45.57,0,0,0,0,-3.65,-9999,-0.230164,1,-0.1093,-13.7973,1,-6.55204
201101010200,-2.15,0,0,0,297.32,0,0.052,0,96.041,0,0,0,4.09,2,-9999,-9999,99,-4.36,0,301.68,1.42,1.93,1.98,2.29,2.9,3.98,0,0,0,0,0,0,42.34,38.84,27.41,45.57,0,0,0,0,-3.66,-9999,-0.232373,1,-0.110349,-13.5572,1,-6.43804
201101010230,-2.11,0,0,0,297.76,0,0.047,0,96.023,0,0,0,4.152,2,-9999,-9999,99.1,-4.26,0,302.02,1.42,1.93,1.98,2.28,2.9,3.98,0,0,0,0,0,0,42.34,38.86,27.41,45.57,0,0,0,0,-3.66,-9999,-0.220517,1,-0.113374,-13.5572,1,-6.97018
201101010300,-2.31,0,0,0,297.18,0,0.046,0,95.971,0,0,0,4.214,2,-9999,-9999,99.1,-3.88,0,301.06,1.42,1.93,1.98,2.28,2.9,3.98,0,0,0,0,0,0,42.35,38.84,27.42,45.57,0,0,0,0,-3.66,-9999,-0.232373,1,-0.110349,-13.5572,1,-6.43804
201101010330,-2.38,0,0,0,297.82,0,0.046,0,95.954,0,0,0,4.276,2,-9999,-9999,99.1,-3.25,0,301.07,1.42,1.93,1.98,2.28,2.9,3.98,0,0,0,0,0,0,42.36,38.84,27.42,45.57,0,0,0,0,-3.66,-9999,-0.2265,1,-0.10756,-13.5086,1,-6.41494
201101010400,-2.07,0,0,0,298.38,0,0.047,0,95.968,0,0,0,4.338,2,-9999,-9999,99.1,-4.1,0,302.48,1.42,1.93,1.98,2.28,2.9,3.98,0,0,0,0,0,0,42.39,38.89,27.43,45.57,0,0,0,0,-3.66,-9999,-0.205439,1,-0.0975584,-13.5525,1,-6.43578
201101010430,-1.6,0,0,0,299.92,0,0.045,0,95.926,0,0,0,4.418,2,-9999,-9999,99.17,-4.47,0,304.39,1.42,1.93,1.98,2.28,2.9,3.97,0,0,0,0,0,0,42.39,38.91,27.44,45.57,0,0,0,0,-3.65,-9999,-0.247925,1,-0.117734,-13.3349,1,-6.33245
