TIMESTAMP,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,G_F_MDS,LE_F_MDS,H_F_MDS,EF_DV,LCL_DV,QA_DV,ME_DV,CLOUD_DV
20070101,1,6.305,126.42,264.02,6.648,86.04,0,2.413,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2020.9,0.0020985,2.86E+05,25.983
20070102,2,6.284,155.48,257.84,6.021,86.185,0,3.746,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1710.8,0.0025388,2.87E+05,9.4642
20070103,3,6.656,157.4,258.04,5.967,86.421,0,1.772,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1623.3,0.0027494,2.88E+05,8.6748
20070104,4,8.105,159.89,263.19,7.243,86.277,0,2.586,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1918.3,0.0025677,2.89E+05,7.2129
20070105,5,6.699,128.19,280.12,5.085,85.722,0.342,3.817,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1274.5,0.0034353,2.90E+05,26.56
20070106,6,5.688,161.7,251.78,5.448,86.375,0.043,2.383,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1551.5,0.0026691,2.87E+05,7.475
20070107,7,5.477,164.91,242.29,7.154,86.972,0,3.222,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2603.3,0.0013325,2.83E+05,5.7906
20070108,8,6.584,166.85,247.63,8.476,86.987,0,2.811,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3324.2,0.00089884,2.83E+05,5.1769
20070109,9,7.733,166.13,251.94,8.597,86.851,0,3.039,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2829,0.0013849,2.86E+05,6.2296
20070110,10,8.756,97.852,306.27,7.779,86.344,4.044,3.013,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2022,0.0025305,2.90E+05,45.199
20070111,11,10.547,112.51,323.53,3.498,86.043,8.331,3.425,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,591.28,0.0066998,3.02E+05,37.229
20070112,12,9.823,99.38,312.52,4.377,85.823,0.978,6.154,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,813.3,0.005636,2.98E+05,45.063
20070113,13,6.67,114.44,288.67,4.702,85.897,0.36,4.036,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1146.3,0.0036927,2.90E+05,37.243
20070114,14,1.143,176.48,210.04,5.704,86.18,0,1.812,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3067.8,0.00067438,2.77E+05,3.9883
20070115,15,1.64,176.41,216.23,5.778,86.396,0,1.939,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2896.5,0.00079301,2.78E+05,4.6705
20070116,16,1.637,176.53,220.77,5.405,86.457,0,3.461,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2473.6,0.00106,2.79E+05,5.5165
20070117,17,3.828,168.29,243.97,5.439,86.396,0,2.71,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1885.6,0.0018707,2.83E+05,10.461
20070118,18,6.895,103.29,297.6,4.948,86.408,0.59,3.445,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1205.7,0.0036032,2.90E+05,45.31
20070119,19,6.723,48.84,332.52,3.09,86.049,11.826,3.666,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,672.05,0.0048834,2.93E+05,74.232
20070120,20,3.868,140.5,271.42,4.205,86.107,0.509,2.742,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1258.4,0.0027873,2.85E+05,25.794
20070121,21,3.422,146.22,272.35,4.307,85.824,3.043,2.65,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1358.3,0.0025412,2.84E+05,23.344
20070122,22,2.506,134.79,268.28,3.468,86.03,4.399,2.397,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1089.3,0.0027878,2.84E+05,29.658
20070123,23,2.958,181.32,236.79,4.761,86.544,0,1.981,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1660.4,0.0020112,2.83E+05,6.0716
20070124,24,5.081,181.33,243.27,5.977,86.735,0,4.89,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1926.4,0.002006,2.85E+05,6.6652
20070125,25,6.33,178.94,262.38,5.882,86.609,0,5.934,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1640.1,0.0026483,2.88E+05,8.2313
20070126,26,5.7,155.03,275.63,4.787,86.263,0,2.154,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1280,0.0031564,2.88E+05,20.951
20070127,27,7.355,185.7,255.6,6.396,86.411,0,1.518,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1688.9,0.0027867,2.89E+05,6.2199
20070128,28,6.938,178.67,263.11,6.222,86.434,0,2.193,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1686.1,0.002703,2.88E+05,11.261
20070129,29,8.031,187.35,268.76,7.151,86.283,0,2.357,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1891.9,0.0025949,2.89E+05,7.3113
20070130,30,7.314,33.122,332.83,3.33,86.13,5.796,2.581,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,703.39,0.0049996,2.94E+05,83.868
20070131,31,6.293,60.672,330.39,3.323,85.708,2.777,3.209,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,757.47,0.0045236,2.92E+05,70.895
20070201,32,5.747,115.46,310.99,4.287,85.749,1.298,4.777,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1094.7,0.0035613,2.89E+05,45.054
20070202,33,5.622,188.53,261.77,5.138,86.274,0.104,2.177,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1428.8,0.0028663,2.87E+05,11.456
20070203,34,5.286,201.09,235.63,6.426,86.754,0,2.171,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2144.8,0.0017734,2.84E+05,6.5083
20070204,35,6.804,201.45,246.67,7.319,86.909,0,2.351,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2278.2,0.0018354,2.86E+05,7.3553
20070205,36,8.062,200.48,260.06,7.687,86.868,0,2.544,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2143.9,0.0022087,2.88E+05,8.4323
