STAS-RUC,19,BB,DRYSMC,F11,MAXSMC,REFSMC,SATPSI,SATDK,SATDW,WLTSMC,QTZ,VG_SAT,VG_A,VG_N,VG_SATDK
Sand,1,4.05,0.045,1.47,0.395,0.236,0.121,1.76E-04,6.08E-07,0.068,0.92,0.43,0.145,2.68,8.25E-05
Loamy Sand,2,4.38,0.057,1.41,0.41,0.383,0.09,1.56E-04,5.14E-06,0.075,0.82,0.41,0.124,2.28,4.05E-05
Sandy Loam,3,4.9,0.065,1.34,0.435,0.383,0.218,3.47E-05,8.05E-06,0.114,0.6,0.41,0.075,1.89,1.23E-05
Silt Loam,4,5.3,0.067,1.27,0.485,0.36,0.786,7.20E-06,2.39E-05,0.179,0.25,0.45,0.02,1.41,1.25E-06
Silt,5,5.3,0.034,1.27,0.485,0.383,0.786,7.20E-06,2.39E-05,0.179,0.1,0.45,0.02,1.41,1.25E-06
Loam,6,5.39,0.078,1.21,0.451,0.329,0.478,6.95E-06,1.43E-05,0.155,0.4,0.43,0.036,1.56,2.89E-06
Sandy Clay Loam,7,7.12,0.1,1.18,0.42,0.314,0.299,6.30E-06,9.90E-06,0.175,0.6,0.39,0.059,1.48,3.64E-06
Silty Clay Loam,8,7.75,0.089,1.32,0.477,0.387,0.356,1.70E-06,2.37E-05,0.218,0.1,0.43,0.01,1.23,1.94E-07
Clay Loam,9,8.52,0.095,1.23,0.476,0.382,0.63,2.45E-06,1.13E-05,0.25,0.35,0.41,0.019,1.31,7.22E-07
Sandy Clay,10,10.4,0.1,1.18,0.426,0.338,0.153,2.17E-06,1.87E-05,0.219,0.52,0.38,0.027,1.23,3.33E-07
Silty Clay,11,10.4,0.07,1.15,0.492,0.404,0.49,1.03E-06,9.64E-06,0.283,0.1,0.36,0.005,1.09,5.56E-08
Clay,12,11.4,0.068,1.09,0.482,0.412,0.405,1.28E-06,1.12E-05,0.286,0.25,0.38,0.008,1.09,5.56E-07
Organic ,13,5.39,0.078,1.21,0.451,0.329,0.478,6.95E-06,1.43E-05,0.155,0.05,,,,
Water,14,0,0,4.18,1,1,0,0,0,0,0,,,,
Bedrock,15,4.05,0.004,2.03,0.2,0.17,0.121,1.41E-04,1.36E-04,0.006,0.6,,,,
Land Ice,16,4.9,0.065,2.1,0.435,0.283,0.218,3.47E-05,5.14E-06,0.114,0.05,,,,
Playa,17,11.4,0.03,1.41,0.468,0.454,0.468,9.74E-07,1.12E-05,0.03,0.6,,,,
Lava,18,4.05,0.006,1.41,0.2,0.17,0.069,1.41E-04,1.36E-04,0.06,0.52,,,,
White Sand,19,4.05,0.01,1.47,0.339,0.236,0.069,1.76E-04,6.08E-07,0.06,0.92,,,,
